"playerID","playerName","year","stint","tmID","lgID","GP","GS","minutes","points","oRebounds","dRebounds","rebounds","assists","steals","blocks","turnovers","PF","fgAttempted","fgMade","ftAttempted","ftMade","threeAttempted","threeMade","dq","PostGP","PostGS","PostMinutes","PostPoints","PostoRebounds","PostdRebounds","PostRebounds","PostAssists","PostSteals","PostBlocks","PostTurnovers","PostPF","PostfgAttempted","PostfgMade","PostftAttempted","PostftMade","PostthreeAttempted","PostthreeMade","PostDQ"
"larkier01w","Erlana Larkins","2012","0","IND","WNBA","34","2","526","141","70","78","148","36","34","5","34","62","108","55","36","31","0","0","0","10","9","320","99","49","60","109","12","7","8","18","23","72","39","27","21","0","0","0"
"lassiam01w","Amanda Lassiter","2001","0","HOU","WNBA","32","18","613","138","27","83","110","34","16","21","35","66","139","51","15","10","67","26","0","2","0","54","19","1","8","9","0","0","3","2","4","16","7","2","2","9","3","0"
"lassiam01w","Amanda Lassiter","2002","1","HOU","WNBA","6","0","46","1","1","5","6","2","2","2","2","4","10","0","2","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lassiam01w","Amanda Lassiter","2002","2","SEA","WNBA","24","22","554","126","23","40","63","55","27","19","49","58","130","47","17","12","66","20","1","2","2","46","10","0","7","7","4","3","1","5","4","15","4","0","0","9","2","0"
"lassiam01w","Amanda Lassiter","2003","0","SEA","WNBA","32","18","733","163","33","79","112","42","27","26","42","92","156","60","30","19","73","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lassiam01w","Amanda Lassiter","2004","0","MIN","WNBA","33","12","563","127","15","65","80","37","21","22","40","74","135","47","9","6","89","27","0","2","0","30","9","0","4","4","1","2","3","4","5","7","3","0","0","6","3","0"
"lassiam01w","Amanda Lassiter","2005","0","MIN","WNBA","31","3","388","107","10","36","46","23","14","4","29","55","115","38","11","7","72","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lassiam01w","Amanda Lassiter","2006","0","CHI","WNBA","32","29","778","257","25","63","88","65","42","17","57","89","254","93","31","22","149","49","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lattaiv01w","Ivory Latta","2007","0","DET","WNBA","31","1","221","93","4","15","19","20","8","2","16","24","87","34","7","3","49","22","0","10","0","47","19","0","3","3","3","2","0","2","3","19","5","6","4","15","5","0"
"lattaiv01w","Ivory Latta","2008","0","ATL","WNBA","34","31","960","388","13","59","72","123","45","1","61","83","343","124","106","85","160","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lattaiv01w","Ivory Latta","2009","0","ATL","WNBA","24","0","350","146","3","13","16","34","13","1","26","32","110","45","46","38","50","18","0","2","2","75","27","2","2","4","5","1","0","3","5","20","8","9","8","9","3","0"
"lattaiv01w","Ivory Latta","2010","0","TUL","WNBA","18","16","517","224","7","19","26","71","18","2","39","32","185","78","49","38","81","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lattaiv01w","Ivory Latta","2011","0","TUL","WNBA","24","24","684","293","10","38","48","77","29","2","69","57","266","110","47","39","97","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lattaiv01w","Ivory Latta","2012","0","TUL","WNBA","34","18","962","487","14","61","75","111","31","3","73","75","407","175","81","68","177","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lavenja01w","Jantel Lavender","2011","0","LAS","WNBA","33","3","487","217","35","68","103","15","6","12","28","46","184","92","45","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lavenja01w","Jantel Lavender","2012","0","LAS","WNBA","34","1","490","189","50","84","134","18","9","18","38","56","160","81","32","27","0","0","0","4","0","40","7","3","6","9","2","0","0","3","4","4","3","2","1","0","0","0"
"lawsoed01w","Edwige Lawson-Wade","2005","2","HOU","WNBA","17","0","114","25","1","6","7","4","2","1","12","5","24","8","4","4","13","5","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lawsoed01w","Edwige Lawson-Wade","2005","1","NYL","WNBA","2","0","12","2","0","2","2","0","0","0","0","2","4","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lawsoed01w","Edwige Lawson-Wade","2006","0","SEA","WNBA","26","0","209","43","2","19","21","29","15","1","19","20","45","17","6","4","19","5","0","3","0","11","4","0","0","0","1","0","0","0","0","4","1","2","1","4","1","0"
"lawsoed01w","Edwige Lawson-Wade","2008","0","SAS","WNBA","30","1","280","100","9","22","31","26","12","0","25","29","80","36","9","6","47","22","0","5","0","84","25","3","9","12","9","3","0","5","5","22","7","4","4","15","7","0"
